full_name,stars,forks,open_issues
ohmyzsh/ohmyzsh,184352,26293,511
django/django,86627,33570,401
home-assistant/core,84484,36636,3208
justjavac/free-programming-books-zh_CN,116253,28353,31
vinta/awesome-python,280655,27155,18
3b1b/manim,84182,7104,487
nvbn/thefuck,95357,3829,404
tensorflow/tensorflow,193559,75206,2968
521xueweihan/HelloGitHub,141717,11084,257
TheAlgorithms/Python,217331,50015,881
pytorch/pytorch,97068,26698,18012
donnemartin/system-design-primer,333881,54253,525
practical-tutorials/project-based-learning,257152,33556,275
CyC2018/CS-Notes,183563,51233,192
jackfrued/Python-100-Days,178273,55354,753
fighting41love/funNLP,78768,15140,43
huggingface/transformers,155955,31907,2193
fastapi/fastapi,94631,8604,214
bregman-arie/devops-exercises,80812,18463,35
yt-dlp/yt-dlp,144992,11736,2264
microsoft/ML-For-Beginners,83426,19847,6
langchain-ai/langchain,125502,20653,401
krahets/hello-algo,121971,14812,24
Comfy-Org/ComfyUI,101982,11559,3616
Significant-Gravitas/AutoGPT,181567,46285,326
langgenius/dify,128183,19946,712
rasbt/LLMs-from-scratch,84076,12702,0
astral-sh/uv,78168,2504,2604
Shubhamsaboo/awesome-llm-apps,91191,13159,10
microsoft/markitdown,86051,4973,422
